2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(type, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(identifier, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(name, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(added_at, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_active, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_announcements, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_alerts, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_stats, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(custom_format, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(emoji_style, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_stats, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_links, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(messages_per_minute, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(message_count, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_message, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(error_count, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_error, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_sent, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(total_sent, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(total_failed, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(average_latency, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(channel_settings, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(backup_channels, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(forward_to, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(created_at, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(updated_at, Column)
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<output_channels>, primary_key=True, nullable=False)])
2025-07-12 05:09:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) constructed
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(id, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(channel_id, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(name, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(type, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(is_active, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(is_alerts, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(is_stats, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(custom_format, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(emoji_style, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(include_stats, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(include_links, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(messages_per_minute, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(rate_limit, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(message_count, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(error_count, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(total_sent, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(total_failed, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(average_latency, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(last_message, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(last_error, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(last_sent, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(channel_settings, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(backup_channels, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(created_at, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) _configure_property(updated_at, Column)
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<notification_channels>, primary_key=True, nullable=False)])
2025-07-12 05:09:41 | INFO     | logging:callHandlers:1736 - (NotificationChannel|notification_channels) constructed
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(token, _RelationshipDeclared)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(metrics, _RelationshipDeclared)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(token_id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(alert_type, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(priority, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(message, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(created_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(processed_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) _configure_property(updated_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<alerts>, primary_key=True, nullable=False)])
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (Alert|alerts) constructed
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(group_id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(name, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(is_active, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(weight, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(added_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(last_processed_message_id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(meta_data, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(created_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) _configure_property(updated_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<monitored_groups>, primary_key=True, nullable=False)])
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (MonitoredGroup|monitored_groups) constructed
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(token, _RelationshipDeclared)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(group, _RelationshipDeclared)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(token_id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(group_id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(message_id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(message_text, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(sentiment, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(mentioned_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(meta_data, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(created_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) _configure_property(updated_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<token_mentions>, primary_key=True, nullable=False)])
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMention|token_mentions) constructed
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(token, _RelationshipDeclared)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(alerts, _RelationshipDeclared)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(token_id, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(created_at, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(price, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(market_cap, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(volume_24h, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(liquidity, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(holder_count, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(buy_count_24h, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(sell_count_24h, Column)
2025-07-12 05:10:52 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(price_change_24h, Column)
